head1_head0_trans_x,head1_head0_trans_y,,,,,head1_head0_ori_w,head1_head1_trans_x,head1_head1_ori_x,head1_head1_ori_y,head1_head2_trans_z,head1_AU07,,head1_AU09,head1_AU12,ClassP1,Class_P0
0.601292966,-0.068579228,,,,,0.991501507,0,0,0,0.364397427,1,,0,0,TRUE,TRUE
0.597792114,-0.062455251,,,,,0.991434691,0,0,0,0.275746275,0,,0,0,TRUE,TRUE
0.606550757,-0.06555156,,,,,0.990790393,0,0,0,0.29948868,0,,0,0,TRUE,TRUE
0.609744962,-0.075389841,,,,,0.991195884,0,0,0,0.334175009,1,,0,0,TRUE,TRUE
0.604383909,-0.075347738,,,,,0.98889402,0,0,0,0.368455749,0,,0,0,TRUE,TRUE
0.60834772,-0.059112907,,,,,0.994048479,0,0,0,0.236650912,0,,0,1,TRUE,TRUE
0.568311421,-0.003993589,,,,,0.923120095,0,0,0,0.535608012,0,,0,0,TRUE,TRUE
0.593259054,0.024696086,,,,,0.964405128,0,0,0,0.354273545,1,,1,0,TRUE,TRUE
0.544224348,-0.142561329,,,,,0.847867038,0,0,0,0.708730994,0,,0,1,TRUE,TRUE
0.57925794,-0.070180056,,,,,0.798360527,0,0,0,0.956115552,0,,1,1,TRUE,TRUE
0.656351028,-0.036356111,,,,,0.990882551,0,0,0,0.930033235,1,,1,1,TRUE,TRUE
0.662414465,-0.115247066,,,,,0.984272823,0,0,0,0.258834594,0,,0,0,TRUE,TRUE
0.61790704,-0.094725228,,,,,0.993433363,0,0,0,0.18784839,1,,0,0,TRUE,TRUE
0.589608169,-0.094369432,,,,,0.988390684,0,0,0,0.401311955,0,,0,0,TRUE,TRUE
0.510812054,0.099060785,,,,,0.958329122,0,0,0,0.947828008,0,,0,1,TRUE,TRUE
0.410049803,0.092383232,,,,,0.894520817,0,0,0,1.219516327,0,,0,1,TRUE,TRUE
0.401163846,0.135779092,,,,,0.9155566,0,0,0,1.219516327,0,,0,1,TRUE,TRUE
