head1_head0_trans_x,head1_head0_trans_y,head1_head0_trans_z,head1_head0_ori_x,head1_head0_ori_y,head1_head0_ori_z,head1_head0_ori_w,head1_head1_trans_x,head1_head1_trans_y,head1_head1_trans_z,head1_head1_ori_x,head1_head1_ori_y,head1_head1_ori_z,head1_head1_ori_w,head1_head2_trans_x,head1_head2_trans_y,head1_head2_trans_z,head1_head2_ori_x,head1_head2_ori_y,head1_head2_ori_z,head1_head2_ori_w,head1_emo,head1_AU28,head1_AU45,head1_AU26,head1_AU25,head1_AU01,head1_AU05,head1_AU20,head1_AU06,head1_AU23,head1_AU07,head1_AU02,head1_AU09,head1_AU17,head1_AU10,head1_AU04,head1_AU12,head1_AU14,head1_AU15,head1_pose,ClassP1,Class_P0
-0.760565241,0.569592726,0.263142892,-0.357068779,0.219068512,-0.142857406,0.896717701,0,0,0,0,0,0,1,-0.468098079,0.309743348,0.021078257,-0.415720322,-0.027503645,-0.109628069,0.902442159,neutual,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,other,FALSE,FALSE
-0.858122668,0.473803981,0.19256272,-0.370249381,0.201630421,-0.142596335,0.895503688,0,0,0,0,0,0,1,-0.49001906,0.276503719,0.010081899,-0.402851152,-0.019238788,-0.099513239,0.909636155,neutual,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,other,FALSE,FALSE
-0.885642667,0.475897256,0.209494045,-0.43792221,0.200032027,-0.152393728,0.863126571,0,0,0,0,0,0,1,-0.49515653,0.290080694,0.032745386,-0.393116995,-0.080530272,-0.066817974,0.913514785,neutual,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,other,FALSE,TRUE
-0.885642667,0.475897256,0.209494045,-0.43792221,0.200032027,-0.152393728,0.863126571,0,0,0,0,0,0,1,-0.49515653,0.290080694,0.032745386,-0.393116995,-0.080530272,-0.066817974,0.913514785,neutual,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,armsCrossed,FALSE,FALSE
-0.885642667,0.475897256,0.209494045,-0.43792221,0.200032027,-0.152393728,0.863126571,0,0,0,0,0,0,1,-0.49515653,0.290080694,0.032745386,-0.393116995,-0.080530272,-0.066817974,0.913514785,happy,,,,,,,,,,,,,,,,,,,armsCrossed,FALSE,FALSE
0.842340699,-0.360532113,1.115937761,0.201131084,-0.030723572,-0.178753229,0.962626424,0,0,0,0,0,0,1,0.428299533,-0.193397305,1.003356415,0.204105988,-0.086373442,-0.170795938,0.960056833,neutual,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,handsOnFace,FALSE,FALSE
0.464997146,0.015086811,0.033300742,-0.036737403,-0.259727237,-0.031917082,0.964454989,0,0,0,0,0,0,1,0.98540855,-0.076640735,0.035762996,0.072186418,-0.500967829,0.166613076,0.846203544,neutual,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,armsCrossed,FALSE,FALSE
0.451467623,-0.010168288,0.028621216,-0.033525,-0.263512825,-0.049924272,0.962779638,0,0,0,0,0,0,1,1.040448017,-0.171357683,-0.217534121,0.16334513,-0.46342579,0.24223872,0.836585506,neutual,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,armsCrossed,FALSE,TRUE
0.523053999,0.041920246,-0.022657482,-0.097791599,-0.52875291,-0.179993916,0.823686441,0,0,0,0,0,0,1,1.197681067,-0.031521606,-0.007518636,0.144903924,-0.595918191,0.255982961,0.747232953,anger,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,armsCrossed,FALSE,FALSE
0.408432848,-0.094823175,0.17398682,0.03895639,-0.644678927,-0.248057607,0.722038021,0,0,0,0,0,0,1,1.324821677,-0.294229351,0.033989114,0.165092569,-0.728537083,0.062166447,0.661901424,anger,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,armsCrossed,FALSE,FALSE
