head0_head0_trans_x,head0_head1_trans_x,head0_head2_trans_x,head0_head2_trans_z,head0_head2_ori_y,head0_head2_ori_w,head0_AU28,head0_AU05,head0_AU20,head0_AU02,Class_P0,ClassP1
0,-1.134402649,-0.496885259,-0.064125709,0.173971307,0.932304726,0,0,0,1,FALSE,FALSE
0,-1.180499103,-0.496885259,-0.064125709,0.173971307,0.932304726,1,1,0,1,FALSE,FALSE
0,-1.180499103,-0.496885259,-0.064125709,0.173971307,0.932304726,1,1,0,1,FALSE,FALSE
0,-1.121548178,-0.577374171,-0.033506061,0.068312049,0.982649711,0,0,0,1,FALSE,FALSE
0,-0.953706803,-0.318861518,-0.737689094,-0.034901333,0.947501313,1,1,1,1,TRUE,FALSE
0,-0.953706803,-0.318861518,-0.737689094,-0.034901333,0.947501313,0,1,1,0,TRUE,FALSE
0,-0.953706803,-0.318861518,-0.737689094,-0.034901333,0.947501313,0,1,1,0,TRUE,FALSE
0,-1.173976205,-0.273300972,0.861155746,0.199974249,0.966927998,0,0,0,1,TRUE,TRUE
0,-1.173976205,-0.273300972,0.861155746,0.199974249,0.966927998,1,0,0,1,TRUE,TRUE
0,-0.99960713,0.193544907,0.70679463,-0.045971885,0.951989905,0,0,1,1,TRUE,TRUE
0,-0.99960713,0.193544907,0.70679463,-0.045971885,0.951989905,1,0,0,1,TRUE,TRUE
0,-0.610690752,0.325975623,-0.818266313,0.054321119,0.994561773,0,0,0,0,TRUE,TRUE
0,-0.533470068,0.363112398,-0.649910815,-0.016027278,0.994937732,1,1,1,0,TRUE,TRUE
0,-0.623444857,0.24910019,-0.880472213,0.155954431,0.983920331,0,1,0,1,TRUE,TRUE
0,-0.569769685,0.24910019,-0.880472213,0.155954431,0.983920331,0,0,0,1,TRUE,TRUE
0,-0.507262755,0.325529214,-0.591849901,0.146280147,0.945906719,1,0,0,1,TRUE,TRUE
0,-0.787055482,0.211904428,-0.560279533,0.121030481,0.987569189,1,0,0,1,TRUE,TRUE
0,-0.583459372,0.470640908,-0.106091866,0.134477522,0.990370511,1,1,0,1,TRUE,TRUE
0,-0.574429092,0.555956358,-0.058703762,0.286837571,0.956994069,1,0,0,1,TRUE,TRUE
0,-0.608701916,0.56524617,0.02161143,-0.170600359,0.973208722,0,1,1,1,TRUE,TRUE
0,-0.617308723,0.552683918,0.145014226,-0.315476351,0.937768799,1,0,0,1,TRUE,TRUE
0,-0.625990047,0.606752589,0.343656545,-0.292752437,0.901226237,1,0,1,1,TRUE,TRUE
0,-0.658791629,0.419263695,-0.537265041,-0.012838443,0.986055586,0,1,0,0,TRUE,TRUE
0,-0.539955296,0.671493494,-0.421060712,-0.284103268,0.938317615,0,0,1,0,TRUE,TRUE
0,-0.566675835,0.669416754,-0.199150306,-0.063060911,0.995721446,1,0,0,1,TRUE,TRUE
0,-0.526980005,0.936625997,0.582810537,0.312814681,0.948858533,1,1,1,1,TRUE,TRUE
0,-1.031780096,0.879278381,0.109428159,0.478409491,0.851057524,1,0,0,1,FALSE,TRUE
0,-1.031780096,0.867975443,0.121530521,0.451311517,0.853402133,1,1,0,1,,TRUE
0,-1.031780096,0.972597257,0.239993504,0.360201397,0.885193104,,,,,TRUE,TRUE
0,0.612129875,1.285674639,0.345963066,0.016473065,0.90557509,0,0,1,0,TRUE,TRUE
0,0.559801727,0.937504556,0.903721814,-0.118916499,0.988099263,0,1,1,0,TRUE,TRUE
0,0.608563015,1.083088183,0.633659301,-0.15278232,0.974913224,0,1,1,0,TRUE,TRUE
0,0.578051522,1.103618426,0.397197478,-0.070789735,0.991869329,1,1,0,1,TRUE,TRUE
0,0.578051522,1.103618426,0.397197478,-0.070789735,0.991869329,0,0,1,0,TRUE,TRUE
0,0.578051522,1.103618426,0.397197478,-0.070789735,0.991869329,0,0,1,0,TRUE,TRUE
0,0.578051522,1.103618426,0.397197478,-0.070789735,0.991869329,0,0,1,0,TRUE,TRUE
0,0.578051522,1.103618426,0.397197478,-0.070789735,0.991869329,0,0,1,0,TRUE,TRUE
0,0.578051522,1.103618426,0.397197478,-0.070789735,0.991869329,0,0,1,0,TRUE,TRUE
0,-0.561579818,0.016447865,0.578720775,0.014259423,0.798779871,1,0,0,1,FALSE,TRUE
0,-0.640369747,-0.125185756,0.691594834,-0.06528642,0.84284339,1,0,0,1,FALSE,TRUE
0,0.575889768,1.218087372,0.523294634,-0.2423757,0.949688783,0,1,1,0,FALSE,TRUE
0,0.555002855,1.161318865,0.631675682,-0.269636001,0.92793003,0,0,1,1,FALSE,TRUE
0,0.569850319,1.194989817,0.422398453,-0.182320239,0.906996568,0,1,1,0,FALSE,TRUE
0,0.56086185,1.23117952,0.011643998,-0.171457805,0.856735747,0,1,1,0,FALSE,TRUE
0,0.634812954,1.270747911,0.179307282,-0.266717005,0.911770589,1,1,0,1,FALSE,TRUE
0,0.610335494,1.357665819,-0.009424555,-0.454341338,0.863279515,0,1,0,0,FALSE,TRUE
0,0.641525425,1.491559291,-0.491915506,-0.491367306,0.864316185,0,1,0,0,FALSE,TRUE
0,0.422016961,1.605060367,-0.968813274,-0.45167217,0.887209837,0,1,1,0,FALSE,TRUE
0,0.524757416,0.99144679,0.691659018,-0.552989069,0.816655142,0,1,1,0,FALSE,TRUE
0,0.557584676,1.057444526,0.469625991,-0.539583536,0.840184653,0,1,0,0,FALSE,TRUE
0,0.524854249,1.057444526,0.469625991,-0.539583536,0.840184653,0,1,1,0,FALSE,TRUE
0,0.794705097,0.545450495,0.024876745,-0.541232576,0.813160309,0,0,0,1,TRUE,TRUE
